name,id,frequent_build,winning_build
AP Maokai, 57, (1056; 3024; 3027; 3057; 3065; 3111; 3340), (1056; 3024; 3027; 3057; 3065; 3111; 3340)
AP Renekton, 58, (1001; 1006; 1028; 1029; 1054; 3116; 3340), ()
AP JarvanIV, 59, (3020; 3089; 3113; 3135; 3157; 3285; 3340), (1037; 2003; 3078; 3111; 3134; 3155; 3340)
AP Elise, 60, (3001; 3020; 3110; 3116; 3151; 3340; 3708), (3020; 3024; 3082; 3116; 3151; 3340; 3708)
AP Orianna, 61, (1026; 1052; 1056; 1058; 3020; 3174; 3340), (1058; 3020; 3089; 3135; 3157; 3174; 3340)
AP MonkeyKing, 62, (1036; 1037; 2041; 3078; 3111; 3134; 3340), (1036; 1037; 2041; 3078; 3111; 3134; 3340)
AP Brand, 63, (1026; 1056; 1058; 3020; 3151; 3285; 3340), (1026; 1056; 1058; 3020; 3151; 3285; 3340)
AP LeeSin, 64, (3035; 3071; 3078; 3111; 3157; 3364; 3707), (3035; 3071; 3078; 3111; 3157; 3364; 3707)
AP Vayne, 67, (1056; 1056; 1056; 1056; 1056; 1056; 3363), (1056; 1056; 1056; 1056; 1056; 1056; 3342)
AP Rumble, 68, (1026; 1052; 3020; 3116; 3151; 3157; 3340), (1026; 1058; 3020; 3116; 3151; 3157; 3340)
AP Cassiopeia, 69, (1026; 3020; 3040; 3089; 3157; 3285; 3340), (1026; 1058; 3020; 3040; 3157; 3285; 3340)
AP Skarner, 72, (3025; 3078; 3091; 3117; 3211; 3340; 3709), (3089; 3110; 3111; 3116; 3157; 3340; 3708)
AP Heimerdinger, 74, (1026; 1052; 1058; 3020; 3157; 3165; 3340), (1026; 1052; 1058; 3020; 3157; 3165; 3340)
AP Nasus, 75, (3025; 3065; 3078; 3110; 3111; 3143; 3340), (3025; 3065; 3078; 3110; 3111; 3143; 3340)
AP Nidalee, 76, (1026; 1052; 1058; 3020; 3027; 3340; 3724), (1026; 1052; 1058; 3020; 3027; 3340; 3724)
AP Udyr, 77, (1029; 1029; 3024; 3078; 3111; 3340; 3710), (1029; 1029; 3024; 3078; 3111; 3340; 3710)
AP Poppy, 78, (1053; 2041; 3047; 3078; 3145; 3153; 3340), (3078; 3101; 3110; 3146; 3158; 3341; 3718)
AP Gragas, 79, (1056; 3020; 3027; 3067; 3157; 3211; 3340), (1056; 3020; 3027; 3067; 3157; 3211; 3340)
